time,location,context,end
2023-06-01 4:00,전국,풍랑주의보 발표,1
2023-06-01 4:00,광주·전라남도,풍랑주의보 발표,
2023-06-01 4:00,제주도,풍랑주의보 발표,
2023-06-01 13:45	,전국,호우주의보 발표,
2023-06-01 13:45	,제주도,호우주의보 발표,
2023-06-01 14:30	,전국,호우주의보 발표,
2023-06-01 14:30	,제주도,호우주의보 발표,
2023-06-01 15:30,부산·울산·경상남도,호우주의보 발표,
2023-06-01 15:30,전국,호우주의보 발표,
2023-06-01 16:30	,제주도,호우주의보 발표,
2023-06-01 16:30	,전국,호우주의보 발표,
2023-06-01 22:00	,제주도,풍랑주의보 발표,
2023-06-01 22:00	,전국,풍랑주의보 발표,
2023-06-01 23:00	,부산·울산·경상남도,호우주의보 해제,
2023-06-01 23:00	,제주도,호우주의보 해제,
2023-06-01 23:00	,전국,호우주의보 해제,
2023-06-02 8:00,제주도,풍랑주의보 해제,
2023-06-02 10:00,제주도,풍랑주의보 해제,
2023-06-02 16:00	,광주·전라남도,풍랑주의보 해제,
2023-06-02 16:00	,전국,풍랑주의보 해제,
2023-06-02 17:00,전국,풍랑주의보 해제,
2023-06-02 17:00,제주도,풍랑주의보 해제,
2023-06-03 4:00,전국,풍랑주의보 해제,
2023-06-03 4:00,제주도,풍랑주의보 해제,
2023-06-03 9:00,부산·울산·경상남도,풍랑주의보 해제,
2023-06-03 9:00,전국,풍랑주의보 해제,
2023-06-03 9:00,제주도,풍랑주의보 해제,
2023-06-08 23:40,서울·인천·경기도,호우주의보 발표,
2023-06-08 23:40,전국,호우주의보 발표,
2023-06-09 2:00,서울·인천·경기도,호우주의보 해제,
2023-06-09 2:00,전국,호우주의보 해제,
2023-06-09 02:10	,서울·인천·경기도,호우경보 변경·호우주의보 해제,
2023-06-09 02:10	,전국,호우경보 변경·호우주의보 해제,
2023-06-09 2:40,서울·인천·경기도,호우경보 해제,
2023-06-09 2:40,전국,호우경보 해제,
2023-06-09 3:00,서울·인천·경기도,호우주의보 해제,
2023-06-09 3:00,전국,호우주의보 해제,
2023-06-09 3:30,강원도,호우주의보 해제,
2023-06-09 3:30,전국,호우주의보 해제,
2023-06-10 14:55	,강원도,호우주의보 발표,
2023-06-10 14:55	,서울·인천·경기도,호우주의보 발표,
2023-06-10 14:55	,전국,호우주의보 발표,
2023-06-10 16:00,서울·인천·경기도,호우경보 변경,
2023-06-10 16:00	,전국,호우경보 변경,
2023-06-10 16:30,전라북도,호우주의보 발표,
2023-06-10 16:30,강원도,호우주의보 발표,
2023-06-10 16:30,서울·인천·경기도,호우주의보 발표,
2023-06-10 16:30,전국,호우주의보 발표,
2023-06-10 16:50,충청북도,강풍주의보 발표,
2023-06-10 16:50	,대구·경상북도,강풍주의보 발표,
2023-06-10 16:50	,전국,강풍주의보 발표,
2023-06-10 17:10,전라북도,호우주의보 해제,
2023-06-10 17:10,서울·인천·경기도,호우경보·호우주의보 해제,
2023-06-10 17:10,전국,호우경보·호우주의보 해제,
2023-06-10 17:40,서울·인천·경기도,호우주의보 해제,
2023-06-10 17:40,전국,호우주의보 해제,
2023-06-10 18:10	,강원도,호우주의보 해제·호우주의보 발표,
2023-06-10 18:10	,전국,호우주의보 해제·호우주의보 발표,
2023-06-10 18:30	,충청북도,강풍주의보 해제,
2023-06-10 18:30	,대구·경상북도,강풍주의보 해제,
2023-06-10 18:30	,강원도,호우주의보 해제,
2023-06-10 18:30	,전국,강풍주의보·호우주의보 해제,
2023-06-10 19:10,강원도,호우주의보 발표,
2023-06-10 19:10,전국,호우주의보 발표,
2023-06-10 19:30,강원도,호우주의보 해제,
2023-06-10 19:30,전국,호우주의보 해제,
2023-06-10 21:30	,강원도,호우주의보 해제,
2023-06-10 21:30	,전국,호우주의보 해제,
